SKU,Name, MSRP ,Method of Delivery,Product Family,Product Group,url in dealershop
NWG-WGT1450203,Trade Up to WatchGuard Basic Security Suite for Firebox T145 - 3-Year," $1,575.00 ",Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?xLNZ9USn650=EHGXS+KVWaXPEIsDlF9U7A==jGYAHnx376gGlbP4TvFkbetVYieXGQ==
NWG-WGT1450205,Trade Up to WatchGuard Basic Security Suite for Firebox T145 - 5-Year," $2,865.00 ",Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?Qc7Kj/Uolrk=DioeiDAyq810w930204usw==PRwtqrFTZgNnEmbyPwAwhhPmqyqr4g==
NWG-WGT1450211,Trade Up to WatchGuard Total Security Suite for Firebox T145 - 1-Year," $1,335.00 ",Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?T7Bdm8pgscs=uep1UsO/e6AbxuTDgCH78w==724Edvp0lBkCko0GPMhh3sqseyX3kQ==
NWG-WGT1450213,Trade Up to WatchGuard Total Security Suite for Firebox T145 - 3-Year," $2,675.00 ",Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?nbdcd9m1cr8=7Lu7lMtP9aeUgHkTNNq7NA==R/UAMZA5HHD+f9qvicUP0C8pOKemQg==
NWG-WGT1450215,Trade Up to WatchGuard Total Security Suite for Firebox T145 - 5-Year," $4,875.00 ",Electronic,T-Series,T145,https://partner.leadersystems.com.au/products.html?jxktR2Ml0lU=mx5du7HqxkmCsJgCGdYe3A==SkTNHJ5HRuxIV3Y1cSy5Pz64P7bb6Q==
NWG-WGT146000,WatchGuard Firebox T145-W Appliance Only, $440.00 ,Physical,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?YAJDGj0WfNU=i6GQ54/SlH6vcw811EOWmA==So59XbGcwSifxziR3nUuBZHmBo8e
NWG-WGT1460061,WatchGuard Standard Support for Firebox T145-W - 1-Year, $850.00 ,Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?v1zqqrrAPKE=931FZw92jz9FGt7dpY+xMg==M91AtVGkdy6fOgEP1a6diFavVNOOUA==
NWG-WGT1460063,WatchGuard Standard Support for Firebox T145-W - 3-Year," $1,480.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?DjeoKmoCgJQ=Ni0wnjC0lo+mV7F3JbGbjg==yAC9+ES/PzbBurZ1Q7+bwo2xhPcROA==
NWG-WGT1460065,WatchGuard Standard Support for Firebox T145-W - 5-Year," $2,190.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?6IVdz4ml7cE=f41Vm5DgLEpu5sg7pqORDA==zlcJwKVs8XtcMikq1fs5hlCApaCiMg==
NWG-WGT1460071,WatchGuard Basic Security Suite for Firebox T145-W - 1-Year," $1,130.00 ",Electronic,T-Series,T145-W,https://partner.leadersystems.com.au/products.html?7RtsgcSnOkY=zMW1R5HoIUOh2KMy4fHF8g==g/4vohFHqEtQYLiO4MXXyirPJA6QSw==
